Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
tx_0000B00OHn1Cxbc0nfDzbJ,07/11/2025,14:45:10,Card payment,Tesco,🍏 ,Groceries,-2.30,GBP,-2.30,GBP,,Jamaica Road,,TESCO STORES 4359      LONDON        GBR,,-2.30,
tx_0000B028f19VMqL6fU6KwL,08/11/2025,10:59:31,Card payment,Transport for London,🚆,Transport,-3.50,GBP,-3.50,GBP,"Travel charge for Friday, 7 Nov",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.50,
tx_0000B02FlIRkgD8baw9iDK,08/11/2025,12:19:05,Card payment,Permit Room Portobello,🍽,Eating out,-26.21,GBP,-26.21,GBP,,186 Portobello Road,,Permit Room Portobello London        GBR,,-26.21,
tx_0000B03UcTdJPdG09Ym8Dz,09/11/2025,02:40:17,Card payment,Transport for London,🚆,Transport,-5.80,GBP,-5.80,GBP,"Travel charge for Saturday, 8 Nov","Windsor House, 42-50 Victoria Street",,TfL Travel Charge      TFL.gov.uk/CP GBR,,-5.80,
tx_0000B04aO0E2kJkwNWa4Uj,09/11/2025,15:19:36,Pot transfer,Savings Pot,,Savings,160.00,GBP,160.00,GBP,,,,,,,160.00
tx_0000B05bmxwudlmAL61krz,10/11/2025,03:10:02,Direct Debit,Southwark Council,,Bills,-122.00,GBP,-122.00,GBP,55771956,,,55771956,,-122.00,
tx_0000B08JQMk15Cbxb8jWWC,11/11/2025,10:28:23,Card payment,Transport for London,🚆,Transport,-3.50,GBP,-3.50,GBP,"Travel charge for Monday, 10 Nov",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.50,
tx_0000B0ANb9a78g0E6OQ9cz,12/11/2025,10:24:35,Card payment,Transport for London,🚆,Transport,-3.50,GBP,-3.50,GBP,"Travel charge for Tuesday, 11 Nov",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.50,
tx_0000B0CTQsKBQtzTLdcd8L,13/11/2025,10:39:23,Card payment,Transport for London,🚆,Transport,-5.25,GBP,-5.25,GBP,"Travel charge for Wednesday, 12 Nov",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-5.25,
tx_0000B0DrpmXgeziz18EQML,14/11/2025,02:47:31,Card payment,Transport for London,🚆,Transport,-3.50,GBP,-3.50,GBP,"Travel charge for Thursday, 13 Nov","Windsor House, 42-50 Victoria Street",,TfL Travel Charge      TFL.gov.uk/CP GBR,,-3.50,
